entity,original_bucket,original_sub_type,original_unresolved_reason,phase8_match_status,phase8_match_type,phase8_match_category,phase8_confidence_label,phase8_confidence_score,description_overlap_score,selected_uniprot_accession,selected_uniprot_entry_name,selected_uniprot_organism,selected_uniprot_source_tier,selected_phytozome_code,selected_phytozome_gene_id,selected_phytozome_base_gene_id,selected_sequence_length,has_sequence,candidate_count,candidate_summary,notes,phase8_quality_flag,phase8_quality_notes
acyl-CoA-binding protein-like,D,descriptive_name,needs_description_matching,matched,description,description_single_species_match,medium,60,1.0,Q9STP8,ACBP2_ARATH,ARATH,sprot,,,,,false,5,Q9STP8|ACBP2_ARATH|ARATH|sprot(ov=1.00); Q9MA55|ACBP4_ARATH|ARATH|sprot(ov=1.00); Q8RWD9|ACBP5_ARATH|ARATH|sprot(ov=1.00); P57752|ACBP6_ARATH|ARATH|sprot(ov=1.00); B3H4G6|B3H4G6_ARATH|ARATH|trembl(ov=1.00),"strong description match, single organism",ok,
Acyl-CoA-binding proteins,D,descriptive_name,needs_description_matching,matched,description,description_partial_match,low,40,0.75,Q9STP8,ACBP2_ARATH,ARATH,sprot,,,,,false,5,Q9STP8|ACBP2_ARATH|ARATH|sprot(ov=0.75); Q9MA55|ACBP4_ARATH|ARATH|sprot(ov=0.75); Q8RWD9|ACBP5_ARATH|ARATH|sprot(ov=0.75); P57752|ACBP6_ARATH|ARATH|sprot(ov=0.75); B3H4G6|B3H4G6_ARATH|ARATH|trembl(ov=0.75),partial description match (coverage),ok,
acyl-CoA-dependent,D,descriptive_name,needs_description_matching,matched,description,description_multi_species_ambiguous,low,45,1.0,A0A061RHE7,A0A061RHE7_9CHLO,9CHLO,trembl,,,,,false,3,A0A061RHE7|A0A061RHE7_9CHLO|9CHLO|trembl(ov=1.00); A0A4D6L0N3|A0A4D6L0N3_VIGUN|VIGUN|trembl(ov=1.00); A0A4D6L438|A0A4D6L438_VIGUN|VIGUN|trembl(ov=1.00),"strong description match, 2 organisms (ambiguous)",broad_taxon_warning,broad_taxon_warning
Acyl-CoA-dependent ceramide synthase,D,descriptive_name,needs_description_matching,matched,description,description_multi_species_ambiguous,low,45,1.0,A0A061RHE7,A0A061RHE7_9CHLO,9CHLO,trembl,,,,,false,6,A0A061RHE7|A0A061RHE7_9CHLO|9CHLO|trembl(ov=1.00); A0A4D6L0N3|A0A4D6L0N3_VIGUN|VIGUN|trembl(ov=1.00); A0A4D6L438|A0A4D6L438_VIGUN|VIGUN|trembl(ov=1.00); M1CI64|M1CI64_SOLTU|SOLTU|trembl(ov=0.80); M1CI63|M1CI63_SOLTU|SOLTU|trembl(ov=0.80),"strong description match, 4 organisms (ambiguous)",broad_taxon_warning,broad_taxon_warning
acyl-CoA: diacylglycerol acyltransferase 1,D,descriptive_name,needs_description_matching,matched,description,description_multi_species_ambiguous,low,45,1.0,A0A9Q0ZAZ0,A0A9Q0ZAZ0_9ROSI,9ROSI,trembl,,,,,false,6,A0A9Q0ZAZ0|A0A9Q0ZAZ0_9ROSI|9ROSI|trembl(ov=1.00); R7QRU8|R7QRU8_CHOCR|CHOCR|trembl(ov=1.00); R7QSK9|R7QSK9_CHOCR|CHOCR|trembl(ov=1.00); A0A3Q8PZB6|A0A3Q8PZB6_9CHLO|9CHLO|trembl(ov=1.00); R4R7S8|R4R7S8_VERFO|VERFO|trembl(ov=1.00),"strong description match, 5 organisms (ambiguous)",broad_taxon_warning,broad_taxon_warning
Acyl-CoA:diacylglycerol acyltransferase,D,descriptive_name,needs_description_matching,matched,description,description_multi_species_ambiguous,low,45,1.0,A0A9Q0ZAZ0,A0A9Q0ZAZ0_9ROSI,9ROSI,trembl,,,,,false,6,A0A9Q0ZAZ0|A0A9Q0ZAZ0_9ROSI|9ROSI|trembl(ov=1.00); R7QRU8|R7QRU8_CHOCR|CHOCR|trembl(ov=1.00); R7QSK9|R7QSK9_CHOCR|CHOCR|trembl(ov=1.00); A0A3Q8PZB6|A0A3Q8PZB6_9CHLO|9CHLO|trembl(ov=1.00); R4R7S8|R4R7S8_VERFO|VERFO|trembl(ov=1.00),"strong description match, 5 organisms (ambiguous)",broad_taxon_warning,broad_taxon_warning
acyl-CoA:G3P acyltransferase,D,descriptive_name,needs_description_matching,matched,description,description_partial_match,low,40,0.75,M1CBJ2,M1CBJ2_SOLTU,SOLTU,trembl,,,,,false,6,M1CBJ2|M1CBJ2_SOLTU|SOLTU|trembl(ov=0.75); M1CF29|M1CF29_SOLTU|SOLTU|trembl(ov=0.75); M1CBJ3|M1CBJ3_SOLTU|SOLTU|trembl(ov=0.75); A0A251TUH3|A0A251TUH3_HELAN|HELAN|trembl(ov=0.75); A0A251TFF9|A0A251TFF9_HELAN|HELAN|trembl(ov=0.75),partial description match (coverage),ok,
acyl-CoA:lysophosphatidylcholine acyltransferase,D,descriptive_name,needs_description_matching,matched,description,description_multi_species_ambiguous,low,45,1.0,W0C954,W0C954_9ROSI,9ROSI,trembl,,,,,false,7,W0C954|W0C954_9ROSI|9ROSI|trembl(ov=1.00); W0C900|W0C900_9ROSI|9ROSI|trembl(ov=1.00); W0C4B7|W0C4B7_9ROSI|9ROSI|trembl(ov=1.00); W0C6I2|W0C6I2_9ROSI|9ROSI|trembl(ov=1.00); A0A8F2YFT8|A0A8F2YFT8_9LAMI|9LAMI|trembl(ov=1.00),"strong description match, 3 organisms (ambiguous)",broad_taxon_warning,broad_taxon_warning
acyl-coenzyme A oxidase 1,D,descriptive_name,needs_description_matching,matched,description,description_multi_species_ambiguous,low,45,1.0,F4KGI8,F4KGI8_ARATH,ARATH,trembl,,,,,false,6,F4KGI8|F4KGI8_ARATH|ARATH|trembl(ov=1.00); F4JMK8|F4JMK8_ARATH|ARATH|trembl(ov=1.00); K3ZHJ1|K3ZHJ1_SETIT|SETIT|trembl(ov=1.00); J7K6M3|J7K6M3_PRUPE|PRUPE|trembl(ov=1.00); A0A251UQ49|A0A251UQ49_HELAN|HELAN|trembl(ov=1.00),"strong description match, 5 organisms (ambiguous)",ok,
acyl-transferase,D,descriptive_name,needs_description_matching,matched,description,description_multi_species_ambiguous,low,45,1.0,A0A2P6TLG5,A0A2P6TLG5_CHLSO,CHLSO,trembl,,,,,false,6,A0A2P6TLG5|A0A2P6TLG5_CHLSO|CHLSO|trembl(ov=1.00); A0A7J7PNY7|A0A7J7PNY7_9CHLO|9CHLO|trembl(ov=1.00); A0A7J7QC33|A0A7J7QC33_9CHLO|9CHLO|trembl(ov=1.00); A0A7J7Q5E4|A0A7J7Q5E4_9CHLO|9CHLO|trembl(ov=1.00); A0A9K3JVG7|A0A9K3JVG7_HELAN|HELAN|trembl(ov=1.00),"strong description match, 3 organisms (ambiguous)",ok,
acyl-transferases,D,descriptive_name,needs_description_matching,matched,description,description_multi_species_ambiguous,low,45,1.0,Q5I2Q4,Q5I2Q4_CUCME,CUCME,trembl,,,,,false,9,Q5I2Q4|Q5I2Q4_CUCME|CUCME|trembl(ov=1.00); Q5I2Q5|Q5I2Q5_CUCME|CUCME|trembl(ov=1.00); A0A1P8B5R4|A0A1P8B5R4_ARATH|ARATH|trembl(ov=1.00); A0A1P8B5R9|A0A1P8B5R9_ARATH|ARATH|trembl(ov=1.00); A0A4Y1RF11|A0A4Y1RF11_PRUDU|PRUDU|trembl(ov=1.00),"strong description match, 3 organisms (ambiguous)",ok,
Acylsugar acyltransferase,D,descriptive_name,needs_description_matching,matched,description,description_single_species_match,medium,60,1.0,A0A3Q7IZV2,A0A3Q7IZV2_SOLLC,SOLLC,trembl,,,,,false,3,A0A3Q7IZV2|A0A3Q7IZV2_SOLLC|SOLLC|trembl(ov=1.00); A0A3Q7F5T4|A0A3Q7F5T4_SOLLC|SOLLC|trembl(ov=1.00); A0A3Q7HA03|A0A3Q7HA03_SOLLC|SOLLC|trembl(ov=1.00),"strong description match, single organism",ok,
AdADH,B,species_prefix_Ad,unknown_prefix_ambiguous,matched,unknown_prefix,unknown_prefix_multi_species_ambiguous,low,40,,Q9CAZ3,ADH1_ARATH,ARATH,sprot,,,,,false,3,Q9CAZ3|ADH1_ARATH|ARATH|sprot; P17648|ADH_FRAAN|FRAAN|sprot; P48977|ADH_MALDO|MALDO|sprot,global symbol ADH: 3 organisms (ambiguous),ok,
