entity,original_bucket,original_sub_type,original_unresolved_reason,phase8_match_status,phase8_match_type,phase8_match_category,phase8_confidence_label,phase8_confidence_score,description_overlap_score,selected_uniprot_accession,selected_uniprot_entry_name,selected_uniprot_organism,selected_uniprot_source_tier,selected_phytozome_code,selected_phytozome_gene_id,selected_phytozome_base_gene_id,selected_sequence_length,has_sequence,candidate_count,candidate_summary,notes,phase8_quality_flag,phase8_quality_notes
(+)-larreatricin hydroxylase 1,D,descriptive_name,needs_description_matching,matched,description,description_multi_species_ambiguous,low,45,1.0,A0A061GFI2,A0A061GFI2_THECC,THECC,trembl,,,,,false,9,A0A061GFI2|A0A061GFI2_THECC|THECC|trembl(ov=1.00); A0A061GEN3|A0A061GEN3_THECC|THECC|trembl(ov=1.00); A0AAE2BUG2|A0AAE2BUG2_9LAMI|9LAMI|trembl(ov=1.00); A0AAE2BH39|A0AAE2BH39_9LAMI|9LAMI|trembl(ov=1.00); A0AAE1W5L5|A0AAE1W5L5_9LAMI|9LAMI|trembl(ov=1.00),"strong description match, 3 organisms (ambiguous)",ok,
(-) -germacrene D synthase,D,descriptive_name,needs_description_matching,matched,description,description_multi_species_ambiguous,low,45,1.0,Q5SBP6,GDS_OCIBA,OCIBA,sprot,,,,,false,9,Q5SBP6|GDS_OCIBA|OCIBA|sprot(ov=1.00); M0ZP06|M0ZP06_SOLTU|SOLTU|trembl(ov=1.00); M0ZP05|M0ZP05_SOLTU|SOLTU|trembl(ov=1.00); A0AA38YLD9|A0AA38YLD9_VITRO|VITRO|trembl(ov=1.00); A0AA38YK58|A0AA38YK58_VITRO|VITRO|trembl(ov=1.00),"strong description match, 6 organisms (ambiguous)",ok,
(3R)-hydroxymyristoyl-[acyl carrier protein] dehydratase,D,descriptive_name,needs_description_matching,matched,description,description_multi_species_ambiguous,low,45,1.0,A0A061GFW6,A0A061GFW6_THECC,THECC,trembl,,,,,false,5,A0A061GFW6|A0A061GFW6_THECC|THECC|trembl(ov=1.00); A0A061GDR9|A0A061GDR9_THECC|THECC|trembl(ov=1.00); A0A392MT77|A0A392MT77_9FABA|9FABA|trembl(ov=1.00); A0A061GLS4|A0A061GLS4_THECC|THECC|trembl(ov=1.00); A0A061GF38|A0A061GF38_THECC|THECC|trembl(ov=1.00),"strong description match, 2 organisms (ambiguous)",ok,
(Ca2+)-dependent protein kinases,D,descriptive_name,needs_description_matching,matched,description,description_multi_species_ambiguous,low,45,1.0,A2XCH8,CKS1_ORYSI,ORYSI,sprot,,,,,false,3,A2XCH8|CKS1_ORYSI|ORYSI|sprot(ov=1.00); Q6PS57|CKS1_ORYSJ|ORYSJ|sprot(ov=1.00); Q9SJJ5|CKS2_ARATH|ARATH|sprot(ov=1.00),"strong description match, 3 organisms (ambiguous)",ok,
(E)-beta-caryophyllene/alpha-humulene synthase gene,D,descriptive_name,needs_description_matching,matched,description,description_multi_species_ambiguous,low,45,1.0,A0A3L6G6Y4,A0A3L6G6Y4_MAIZE,MAIZE,trembl,,,,,false,10,A0A3L6G6Y4|A0A3L6G6Y4_MAIZE|MAIZE|trembl(ov=1.00); A0A4D6NAE0|A0A4D6NAE0_VIGUN|VIGUN|trembl(ov=1.00); A0A1D6EFQ5|A0A1D6EFQ5_MAIZE|MAIZE|trembl(ov=1.00); A0A1D6IY13|A0A1D6IY13_MAIZE|MAIZE|trembl(ov=1.00); A0A1D6IY24|A0A1D6IY24_MAIZE|MAIZE|trembl(ov=1.00),"strong description match, 2 organisms (ambiguous)",ok,
(NAD+)-dependent malate dehydrogenase,D,descriptive_name,needs_description_matching,matched,description,description_multi_species_ambiguous,low,45,1.0,A0A072VNB9,A0A072VNB9_MEDTR,MEDTR,trembl,,,,,false,6,A0A072VNB9|A0A072VNB9_MEDTR|MEDTR|trembl(ov=1.00); A0A2Z7A0L6|A0A2Z7A0L6_9LAMI|9LAMI|trembl(ov=1.00); A0A2Z7D5S7|A0A2Z7D5S7_9LAMI|9LAMI|trembl(ov=1.00); A0A5N5EXC2|A0A5N5EXC2_9ROSA|9ROSA|trembl(ov=1.00); D8LQY3|D8LQY3_ECTSI|ECTSI|trembl(ov=1.00),"strong description match, 5 organisms (ambiguous)",ok,
(NADP+)-dependent malate dehydrogenase,D,descriptive_name,needs_description_matching,matched,description,description_multi_species_ambiguous,low,45,1.0,A0A072VNB9,A0A072VNB9_MEDTR,MEDTR,trembl,,,,,false,6,A0A072VNB9|A0A072VNB9_MEDTR|MEDTR|trembl(ov=1.00); A0A2Z7A0L6|A0A2Z7A0L6_9LAMI|9LAMI|trembl(ov=1.00); A0A2Z7D5S7|A0A2Z7D5S7_9LAMI|9LAMI|trembl(ov=1.00); A0A5N5EXC2|A0A5N5EXC2_9ROSA|9ROSA|trembl(ov=1.00); D8LQY3|D8LQY3_ECTSI|ECTSI|trembl(ov=1.00),"strong description match, 5 organisms (ambiguous)",ok,
(NADP+)-dependent malate dehydrogenase (oxaloacetate-decarboxylating),D,descriptive_name,needs_description_matching,matched,description,description_multi_species_ambiguous,low,45,1.0,A0A072VNB9,A0A072VNB9_MEDTR,MEDTR,trembl,,,,,false,6,A0A072VNB9|A0A072VNB9_MEDTR|MEDTR|trembl(ov=1.00); A0A2Z7A0L6|A0A2Z7A0L6_9LAMI|9LAMI|trembl(ov=1.00); A0A2Z7D5S7|A0A2Z7D5S7_9LAMI|9LAMI|trembl(ov=1.00); A0A5N5EXC2|A0A5N5EXC2_9ROSA|9ROSA|trembl(ov=1.00); D8LQY3|D8LQY3_ECTSI|ECTSI|trembl(ov=1.00),"strong description match, 5 organisms (ambiguous)",ok,
"(R, R)-2,3-butanediol dehydrogenase",D,descriptive_name,needs_description_matching,matched,description,description_single_species_match,medium,60,1.0,A0AAD9LN65,A0AAD9LN65_9STRA,9STRA,trembl,,,,,false,1,A0AAD9LN65|A0AAD9LN65_9STRA|9STRA|trembl(ov=1.00),"strong description match, single organism",broad_taxon_warning,broad_taxon_warning
(S)-2-hydroxy-acid oxidase,D,descriptive_name,needs_description_matching,matched,description,description_multi_species_ambiguous,low,45,1.0,A0A5N6L3K1,A0A5N6L3K1_9ROSI,9ROSI,trembl,,,,,false,6,A0A5N6L3K1|A0A5N6L3K1_9ROSI|9ROSI|trembl(ov=1.00); A0AAE0FHV0|A0AAE0FHV0_9CHLO|9CHLO|trembl(ov=1.00); A0A9P1CIR9|A0A9P1CIR9_9DINO|9DINO|trembl(ov=1.00); A0A7S1SR74|A0A7S1SR74_9CHLO|9CHLO|trembl(ov=1.00); A0A8J1ZPK0|A0A8J1ZPK0_9DINO|9DINO|trembl(ov=1.00),"strong description match, 3 organisms (ambiguous)",broad_taxon_warning,broad_taxon_warning
"1,4-beta-D-xylan synthase",D,descriptive_name,needs_description_matching,matched,description,description_multi_species_ambiguous,low,45,1.0,A0AAD8IIZ5,A0AAD8IIZ5_9APIA,9APIA,trembl,,,,,false,3,A0AAD8IIZ5|A0AAD8IIZ5_9APIA|9APIA|trembl(ov=1.00); A0A4D6LLH8|A0A4D6LLH8_VIGUN|VIGUN|trembl(ov=1.00); A0A4D6LLB4|A0A4D6LLB4_VIGUN|VIGUN|trembl(ov=1.00),"strong description match, 2 organisms (ambiguous)",broad_taxon_warning,broad_taxon_warning
1-acyl-sn-glycerol-3-phosphate acyltransferase-like,D,descriptive_name,needs_description_matching,matched,description,description_multi_species_ambiguous,low,45,1.0,M1A4Y2,M1A4Y2_SOLTU,SOLTU,trembl,,,,,false,4,M1A4Y2|M1A4Y2_SOLTU|SOLTU|trembl(ov=1.00); A0A834FVF4|A0A834FVF4_RHOSS|RHOSS|trembl(ov=1.00); A0A834LK82|A0A834LK82_RHOSS|RHOSS|trembl(ov=1.00); W7T8F2|W7T8F2_9STRA|9STRA|trembl(ov=1.00),"strong description match, 3 organisms (ambiguous)",ok,
1-aminocyclopropane carboxylate oxidase,D,descriptive_name,needs_description_matching,matched,description,description_multi_species_ambiguous,low,45,1.0,Q84MB3,ACCH1_ARATH,ARATH,sprot,,,,,false,4,Q84MB3|ACCH1_ARATH|ARATH|sprot(ov=1.00); Q9C5K7|ACCH2_ARATH|ARATH|sprot(ov=1.00); Q8H1S4|ACCH3_ARATH|ARATH|sprot(ov=1.00); M1BE24|M1BE24_SOLTU|SOLTU|trembl(ov=1.00),"strong description match, 2 organisms (ambiguous)",ok,
1-aminocyclopropane-1-carboxylate (ACC) deaminase,D,descriptive_name,needs_description_matching,matched,description,description_multi_species_ambiguous,low,45,1.0,A0A9K3PBC2,A0A9K3PBC2_9STRA,9STRA,trembl,,,,,false,8,A0A9K3PBC2|A0A9K3PBC2_9STRA|9STRA|trembl(ov=1.00); A0A9K3M4I6|A0A9K3M4I6_9STRA|9STRA|trembl(ov=1.00); A0A1W0A0V9|A0A1W0A0V9_9STRA|9STRA|trembl(ov=1.00); A0AAD7XKS7|A0AAD7XKS7_9STRA|9STRA|trembl(ov=1.00); A0AAD5DK48|A0AAD5DK48_9CHLO|9CHLO|trembl(ov=1.00),"strong description match, 4 organisms (ambiguous)",broad_taxon_warning,broad_taxon_warning
1-aminocyclopropane-1-carboxylate (ACC) synthase,D,descriptive_name,needs_description_matching,matched,description,description_multi_species_ambiguous,low,45,1.0,Q06429,1A11_ARATH,ARATH,sprot,,,,,false,5,Q06429|1A11_ARATH|ARATH|sprot(ov=1.00); M0ZUT0|M0ZUT0_SOLTU|SOLTU|trembl(ov=1.00); Q8LNZ6|Q8LNZ6_BRAOL|BRAOL|trembl(ov=1.00); A0A482KDT7|A0A482KDT7_9DIPS|9DIPS|trembl(ov=1.00); A0A482K8Y1|A0A482K8Y1_9DIPS|9DIPS|trembl(ov=1.00),"strong description match, 4 organisms (ambiguous)",ok,
1-aminocyclopropane-1-carboxylate deaminase,D,descriptive_name,needs_description_matching,matched,description,description_multi_species_ambiguous,low,45,1.0,A0A9K3PBC2,A0A9K3PBC2_9STRA,9STRA,trembl,,,,,false,8,A0A9K3PBC2|A0A9K3PBC2_9STRA|9STRA|trembl(ov=1.00); A0A9K3M4I6|A0A9K3M4I6_9STRA|9STRA|trembl(ov=1.00); A0A1W0A0V9|A0A1W0A0V9_9STRA|9STRA|trembl(ov=1.00); A0AAD7XKS7|A0AAD7XKS7_9STRA|9STRA|trembl(ov=1.00); A0AAD5DK48|A0AAD5DK48_9CHLO|9CHLO|trembl(ov=1.00),"strong description match, 4 organisms (ambiguous)",broad_taxon_warning,broad_taxon_warning
1-aminocyclopropane-1-carboxylate oxidase,D,descriptive_name,needs_description_matching,matched,description,description_multi_species_ambiguous,low,45,1.0,Q84MB3,ACCH1_ARATH,ARATH,sprot,,,,,false,4,Q84MB3|ACCH1_ARATH|ARATH|sprot(ov=1.00); Q9C5K7|ACCH2_ARATH|ARATH|sprot(ov=1.00); Q8H1S4|ACCH3_ARATH|ARATH|sprot(ov=1.00); M1BE24|M1BE24_SOLTU|SOLTU|trembl(ov=1.00),"strong description match, 2 organisms (ambiguous)",ok,
1-aminocyclopropane-1-carboxylate oxidase 1,D,descriptive_name,needs_description_matching,matched,description,description_multi_species_ambiguous,low,45,1.0,Q84MB3,ACCH1_ARATH,ARATH,sprot,,,,,false,4,Q84MB3|ACCH1_ARATH|ARATH|sprot(ov=1.00); Q9C5K7|ACCH2_ARATH|ARATH|sprot(ov=1.00); Q8H1S4|ACCH3_ARATH|ARATH|sprot(ov=1.00); M1BE24|M1BE24_SOLTU|SOLTU|trembl(ov=1.00),"strong description match, 2 organisms (ambiguous)",ok,
1-aminocyclopropane-1-carboxylate oxidase 3,D,descriptive_name,needs_description_matching,matched,description,description_multi_species_ambiguous,low,45,1.0,Q84MB3,ACCH1_ARATH,ARATH,sprot,,,,,false,4,Q84MB3|ACCH1_ARATH|ARATH|sprot(ov=1.00); Q9C5K7|ACCH2_ARATH|ARATH|sprot(ov=1.00); Q8H1S4|ACCH3_ARATH|ARATH|sprot(ov=1.00); M1BE24|M1BE24_SOLTU|SOLTU|trembl(ov=1.00),"strong description match, 2 organisms (ambiguous)",ok,
1-aminocyclopropane-1-carboxylate oxidase homolog 1-like,D,descriptive_name,needs_description_matching,matched,description,description_multi_species_ambiguous,low,45,1.0,Q84MB3,ACCH1_ARATH,ARATH,sprot,,,,,false,4,Q84MB3|ACCH1_ARATH|ARATH|sprot(ov=1.00); Q9C5K7|ACCH2_ARATH|ARATH|sprot(ov=1.00); Q8H1S4|ACCH3_ARATH|ARATH|sprot(ov=1.00); P10967|ACCH3_SOLLC|SOLLC|sprot(ov=1.00),"strong description match, 2 organisms (ambiguous)",ok,
1-aminocyclopropane-1-carboxylate synthase,D,descriptive_name,needs_description_matching,matched,description,description_multi_species_ambiguous,low,45,1.0,Q06429,1A11_ARATH,ARATH,sprot,,,,,false,5,Q06429|1A11_ARATH|ARATH|sprot(ov=1.00); M0ZUT0|M0ZUT0_SOLTU|SOLTU|trembl(ov=1.00); Q8LNZ6|Q8LNZ6_BRAOL|BRAOL|trembl(ov=1.00); A0A482KDT7|A0A482KDT7_9DIPS|9DIPS|trembl(ov=1.00); A0A482K8Y1|A0A482K8Y1_9DIPS|9DIPS|trembl(ov=1.00),"strong description match, 4 organisms (ambiguous)",ok,
1-aminocyclopropane-1-carboxylate synthase gene,D,descriptive_name,needs_description_matching,matched,description,description_multi_species_ambiguous,low,45,1.0,Q06429,1A11_ARATH,ARATH,sprot,,,,,false,5,Q06429|1A11_ARATH|ARATH|sprot(ov=1.00); M0ZUT0|M0ZUT0_SOLTU|SOLTU|trembl(ov=1.00); Q8LNZ6|Q8LNZ6_BRAOL|BRAOL|trembl(ov=1.00); A0A482KDT7|A0A482KDT7_9DIPS|9DIPS|trembl(ov=1.00); A0A482K8Y1|A0A482K8Y1_9DIPS|9DIPS|trembl(ov=1.00),"strong description match, 4 organisms (ambiguous)",ok,
1-aminocyclopropane-1-carboxylic acid deaminase,D,descriptive_name,needs_description_matching,matched,description,description_partial_match,low,40,0.75,M1A612,M1A612_SOLTU,SOLTU,trembl,,,,,false,2,M1A612|M1A612_SOLTU|SOLTU|trembl(ov=0.75); M1AUP6|M1AUP6_SOLTU|SOLTU|trembl(ov=0.75),partial description match (coverage),ok,
1-aminocyclopropane-1-carboxylic acid oxidase,D,descriptive_name,needs_description_matching,matched,description,description_multi_species_ambiguous,low,45,1.0,M1A612,M1A612_SOLTU,SOLTU,trembl,,,,,false,5,M1A612|M1A612_SOLTU|SOLTU|trembl(ov=1.00); M1AUP6|M1AUP6_SOLTU|SOLTU|trembl(ov=1.00); D7TB93|D7TB93_VITVI|VITVI|trembl(ov=1.00); Q5Z7K8|Q5Z7K8_ORYSJ|ORYSJ|trembl(ov=1.00); A0A346NVB7|A0A346NVB7_9DIPS|9DIPS|trembl(ov=1.00),"strong description match, 4 organisms (ambiguous)",ok,
1-AMINOCYCLOPROPANE-1-CARBOXYLIC ACID OXIDASE2,D,descriptive_name,needs_description_matching,matched,description,description_partial_match,low,40,0.75,M1A612,M1A612_SOLTU,SOLTU,trembl,,,,,false,2,M1A612|M1A612_SOLTU|SOLTU|trembl(ov=0.75); M1AUP6|M1AUP6_SOLTU|SOLTU|trembl(ov=0.75),partial description match (coverage),ok,
1-cys peroxiredoxin A,D,descriptive_name,needs_description_matching,matched,description,description_multi_species_ambiguous,low,45,1.0,A0A438F7Q8,A0A438F7Q8_VITVI,VITVI,trembl,,,,,false,4,A0A438F7Q8|A0A438F7Q8_VITVI|VITVI|trembl(ov=1.00); Q96291|BAS1A_ARATH|ARATH|sprot(ov=1.00); P0C5C9|REHYA_ORYSJ|ORYSJ|sprot(ov=1.00); P0C5C8|REHYA_ORYSI|ORYSI|sprot(ov=1.00),"strong description match, 4 organisms (ambiguous)",ok,
1-deoxy-D-xylulose 5-phosphate reductoisomerase,D,descriptive_name,needs_description_matching,matched,description,description_multi_species_ambiguous,low,45,1.0,A0A072TLK9,A0A072TLK9_MEDTR,MEDTR,trembl,,,,,false,5,A0A072TLK9|A0A072TLK9_MEDTR|MEDTR|trembl(ov=1.00); Q9SP64|Q9SP64_ARTAN|ARTAN|trembl(ov=1.00); W7TAW3|W7TAW3_9STRA|9STRA|trembl(ov=1.00); F4ZZ27|F4ZZ27_SOYBN|SOYBN|trembl(ov=1.00); A0A411I662|A0A411I662_9ASTR|9ASTR|trembl(ov=1.00),"strong description match, 5 organisms (ambiguous)",ok,
1-Deoxy-D-Xylulose 5-Phosphate Synthase,D,descriptive_name,needs_description_matching,matched,description,description_multi_species_ambiguous,low,45,1.0,A0A072V1P9,A0A072V1P9_MEDTR,MEDTR,trembl,,,,,false,5,A0A072V1P9|A0A072V1P9_MEDTR|MEDTR|trembl(ov=1.00); A0AA38U1A0|A0AA38U1A0_9ASTR|9ASTR|trembl(ov=1.00); A0A835HVW6|A0A835HVW6_9MAGN|9MAGN|trembl(ov=1.00); A0A835HV59|A0A835HV59_9MAGN|9MAGN|trembl(ov=1.00); A0A834LTS6|A0A834LTS6_RHOSS|RHOSS|trembl(ov=1.00),"strong description match, 4 organisms (ambiguous)",ok,
1-deoxy-D-xylulose-5-phosphate reductoisomerase,D,descriptive_name,needs_description_matching,matched,description,description_multi_species_ambiguous,low,45,1.0,A0A072TLK9,A0A072TLK9_MEDTR,MEDTR,trembl,,,,,false,5,A0A072TLK9|A0A072TLK9_MEDTR|MEDTR|trembl(ov=1.00); Q9SP64|Q9SP64_ARTAN|ARTAN|trembl(ov=1.00); W7TAW3|W7TAW3_9STRA|9STRA|trembl(ov=1.00); F4ZZ27|F4ZZ27_SOYBN|SOYBN|trembl(ov=1.00); A0A411I662|A0A411I662_9ASTR|9ASTR|trembl(ov=1.00),"strong description match, 5 organisms (ambiguous)",ok,
1-deoxy-D-xylulose-5-phosphate synthase,D,descriptive_name,needs_description_matching,matched,description,description_multi_species_ambiguous,low,45,1.0,A0A072V1P9,A0A072V1P9_MEDTR,MEDTR,trembl,,,,,false,5,A0A072V1P9|A0A072V1P9_MEDTR|MEDTR|trembl(ov=1.00); A0AA38U1A0|A0AA38U1A0_9ASTR|9ASTR|trembl(ov=1.00); A0A835HVW6|A0A835HVW6_9MAGN|9MAGN|trembl(ov=1.00); A0A835HV59|A0A835HV59_9MAGN|9MAGN|trembl(ov=1.00); A0A834LTS6|A0A834LTS6_RHOSS|RHOSS|trembl(ov=1.00),"strong description match, 4 organisms (ambiguous)",ok,
1-deoxy-D-xylulose-5-phosphate synthase gene,D,descriptive_name,needs_description_matching,matched,description,description_multi_species_ambiguous,low,45,1.0,A0A072V1P9,A0A072V1P9_MEDTR,MEDTR,trembl,,,,,false,5,A0A072V1P9|A0A072V1P9_MEDTR|MEDTR|trembl(ov=1.00); A0AA38U1A0|A0AA38U1A0_9ASTR|9ASTR|trembl(ov=1.00); A0A835HVW6|A0A835HVW6_9MAGN|9MAGN|trembl(ov=1.00); A0A835HV59|A0A835HV59_9MAGN|9MAGN|trembl(ov=1.00); A0A834LTS6|A0A834LTS6_RHOSS|RHOSS|trembl(ov=1.00),"strong description match, 4 organisms (ambiguous)",ok,
1-O-acylglucose: anthocyanin acyltransferase,D,descriptive_name,needs_description_matching,matched,description,description_single_species_match,medium,60,1.0,G7ILY2,G7ILY2_MEDTR,MEDTR,trembl,,,,,false,4,G7ILY2|G7ILY2_MEDTR|MEDTR|trembl(ov=1.00); A0A072UH05|A0A072UH05_MEDTR|MEDTR|trembl(ov=1.00); A0A072V4C5|A0A072V4C5_MEDTR|MEDTR|trembl(ov=1.00); G7JTG3|G7JTG3_MEDTR|MEDTR|trembl(ov=1.00),"strong description match, single organism",ok,
1-phosphatidylinositol-4-phosphate 5-kinase,D,descriptive_name,needs_description_matching,matched,description,description_multi_species_ambiguous,low,45,1.0,M0ZK23,M0ZK23_SOLTU,SOLTU,trembl,,,,,false,6,M0ZK23|M0ZK23_SOLTU|SOLTU|trembl(ov=1.00); M1BHD3|M1BHD3_SOLTU|SOLTU|trembl(ov=1.00); M0ZK24|M0ZK24_SOLTU|SOLTU|trembl(ov=1.00); M1BHD4|M1BHD4_SOLTU|SOLTU|trembl(ov=1.00); Q9SSJ8|FAB1C_ARATH|ARATH|sprot(ov=1.00),"strong description match, 2 organisms (ambiguous)",ok,
1-pyrroline-5-carboxylate dehydrogenase,D,descriptive_name,needs_description_matching,matched,description,description_multi_species_ambiguous,low,45,1.0,A0A072URE3,A0A072URE3_MEDTR,MEDTR,trembl,,,,,false,8,A0A072URE3|A0A072URE3_MEDTR|MEDTR|trembl(ov=1.00); A0A061S3W3|A0A061S3W3_9CHLO|9CHLO|trembl(ov=1.00); A0A2U1KMJ7|A0A2U1KMJ7_ARTAN|ARTAN|trembl(ov=1.00); A0A2U1MLI1|A0A2U1MLI1_ARTAN|ARTAN|trembl(ov=1.00); A0A0H4CVZ2|A0A0H4CVZ2_BETPL|BETPL|trembl(ov=1.00),"strong description match, 6 organisms (ambiguous)",ok,
1-pyrroline-5-carboxylate synthase,D,descriptive_name,needs_description_matching,matched,description,description_multi_species_ambiguous,low,45,1.0,A0A8T1WDT5,A0A8T1WDT5_9STRA,9STRA,trembl,,,,,false,3,A0A8T1WDT5|A0A8T1WDT5_9STRA|9STRA|trembl(ov=1.00); A0A8T1VBK6|A0A8T1VBK6_9STRA|9STRA|trembl(ov=1.00); A0A835SEV3|A0A835SEV3_VANPL|VANPL|trembl(ov=1.00),"strong description match, 2 organisms (ambiguous)",broad_taxon_warning,broad_taxon_warning
10 kDa chaperonin,D,descriptive_name,needs_description_matching,matched,description,description_multi_species_ambiguous,low,45,1.0,K4AH50,K4AH50_SETIT,SETIT,trembl,,,,,false,10,K4AH50|K4AH50_SETIT|SETIT|trembl(ov=1.00); I1GRU5|I1GRU5_BRADI|BRADI|trembl(ov=1.00); C6SZ55|C6SZ55_SOYBN|SOYBN|trembl(ov=1.00); C6T4J1|C6T4J1_SOYBN|SOYBN|trembl(ov=1.00); C6TFY7|C6TFY7_SOYBN|SOYBN|trembl(ov=1.00),"strong description match, 4 organisms (ambiguous)",ok,
10-deacetylbaccatin III 10-O-acetyltransferase,D,descriptive_name,needs_description_matching,matched,description,description_multi_species_ambiguous,low,45,1.0,M1A2Q1,M1A2Q1_SOLTU,SOLTU,trembl,,,,,false,3,M1A2Q1|M1A2Q1_SOLTU|SOLTU|trembl(ov=1.00); M1A2Q0|M1A2Q0_SOLTU|SOLTU|trembl(ov=1.00); A0A979HLI7|A0A979HLI7_ORYSJ|ORYSJ|trembl(ov=1.00),"strong description match, 2 organisms (ambiguous)",ok,
10-geraniol hydroxylase,D,descriptive_name,needs_description_matching,matched,description,description_multi_species_ambiguous,low,45,1.0,I1NGG7,I1NGG7_SOYBN,SOYBN,trembl,,,,,false,10,I1NGG7|I1NGG7_SOYBN|SOYBN|trembl(ov=1.00); I1NHQ0|I1NHQ0_SOYBN|SOYBN|trembl(ov=1.00); I1L7A9|I1L7A9_SOYBN|SOYBN|trembl(ov=1.00); I1NGG8|I1NGG8_SOYBN|SOYBN|trembl(ov=1.00); M0ZJG7|M0ZJG7_SOLTU|SOLTU|trembl(ov=1.00),"strong description match, 3 organisms (ambiguous)",ok,
12-OPDA reductase,D,descriptive_name,needs_description_matching,matched,description,description_multi_species_ambiguous,low,45,1.0,Q0JMR0,OPR10_ORYSJ,ORYSJ,sprot,,,,,false,5,Q0JMR0|OPR10_ORYSJ|ORYSJ|sprot(ov=1.00); B9FSC8|OPR11_ORYSJ|ORYSJ|sprot(ov=1.00); A0A097A2W7|A0A097A2W7_ASTSI|ASTSI|trembl(ov=1.00); D7L9D4|D7L9D4_ARALL|ARALL|trembl(ov=1.00); Q3V5W7|Q3V5W7_TOBAC|TOBAC|trembl(ov=1.00),"strong description match, 4 organisms (ambiguous)",ok,
12-oxo-phytodienoic acid reductase,D,descriptive_name,needs_description_matching,matched,description,description_multi_species_ambiguous,low,45,1.0,Q49HE4,Q49HE4_MAIZE,MAIZE,trembl,,,,,false,9,Q49HE4|Q49HE4_MAIZE|MAIZE|trembl(ov=1.00); Q49HE0|Q49HE0_MAIZE|MAIZE|trembl(ov=1.00); Q49HE3|Q49HE3_MAIZE|MAIZE|trembl(ov=1.00); A0A8K0Z4Q4|A0A8K0Z4Q4_SALMI|SALMI|trembl(ov=1.00); A0A8K0Z4Q5|A0A8K0Z4Q5_SALMI|SALMI|trembl(ov=1.00),"strong description match, 4 organisms (ambiguous)",ok,
12-oxo-phytodienoic acid reductase 3,D,descriptive_name,needs_description_matching,matched,description,description_multi_species_ambiguous,low,45,1.0,Q49HE4,Q49HE4_MAIZE,MAIZE,trembl,,,,,false,9,Q49HE4|Q49HE4_MAIZE|MAIZE|trembl(ov=1.00); Q49HE0|Q49HE0_MAIZE|MAIZE|trembl(ov=1.00); Q49HE3|Q49HE3_MAIZE|MAIZE|trembl(ov=1.00); A0A8K0Z4Q4|A0A8K0Z4Q4_SALMI|SALMI|trembl(ov=1.00); A0A8K0Z4Q5|A0A8K0Z4Q5_SALMI|SALMI|trembl(ov=1.00),"strong description match, 4 organisms (ambiguous)",ok,
12-oxophytodienoic acid reductase,D,descriptive_name,needs_description_matching,matched,description,description_multi_species_ambiguous,low,45,1.0,A3QQM8,A3QQM8_SETIT,SETIT,trembl,,,,,false,9,A3QQM8|A3QQM8_SETIT|SETIT|trembl(ov=1.00); A0A2V0P6N7|A0A2V0P6N7_9CHLO|9CHLO|trembl(ov=1.00); A0A224AE07|A0A224AE07_9ROSI|9ROSI|trembl(ov=1.00); A0A224ADX1|A0A224ADX1_9ROSI|9ROSI|trembl(ov=1.00); A0A224ADX3|A0A224ADX3_9ROSI|9ROSI|trembl(ov=1.00),"strong description match, 5 organisms (ambiguous)",ok,
13 kDa prolamin,D,descriptive_name,needs_description_matching,matched,description,description_multi_species_ambiguous,low,45,1.0,Q0DN94,PROA_ORYSJ,ORYSJ,sprot,,,,,false,4,Q0DN94|PROA_ORYSJ|ORYSJ|sprot(ov=1.00); A2XMB2|PROA_ORYSI|ORYSI|sprot(ov=1.00); P17048|PRO25_ORYSJ|ORYSJ|sprot(ov=1.00); A0A0N7KN51|A0A0N7KN51_ORYSJ|ORYSJ|trembl(ov=1.00),"strong description match, 2 organisms (ambiguous)",ok,
13 kDa subunit,D,descriptive_name,needs_description_matching,matched,description,description_multi_species_ambiguous,low,45,1.0,A8MRK9,A8MRK9_ARATH,ARATH,trembl,,,,,false,7,A8MRK9|A8MRK9_ARATH|ARATH|trembl(ov=1.00); P68162|VATL_BETVU|BETVU|sprot(ov=1.00); P68161|VATL_MESCR|MESCR|sprot(ov=1.00); Q0IUB5|VATL_ORYSJ|ORYSJ|sprot(ov=1.00); Q43434|VATL_GOSHI|GOSHI|sprot(ov=1.00),"strong description match, 7 organisms (ambiguous)",generic_description_warning,generic_description_warning
13S-lipoxygenase,D,descriptive_name,needs_description_matching,matched,description,description_multi_species_ambiguous,low,45,1.0,A0A5D3BFG7,A0A5D3BFG7_CUCME,CUCME,trembl,,,,,false,5,A0A5D3BFG7|A0A5D3BFG7_CUCME|CUCME|trembl(ov=1.00); A0A2R6P8A4|A0A2R6P8A4_ACTCC|ACTCC|trembl(ov=1.00); A0A2R6P882|A0A2R6P882_ACTCC|ACTCC|trembl(ov=1.00); A0A5D3BCK5|A0A5D3BCK5_CUCME|CUCME|trembl(ov=1.00); A0A6B9V667|A0A6B9V667_ARAHY|ARAHY|trembl(ov=1.00),"strong description match, 3 organisms (ambiguous)",ok,
